studentId,marks
1,86
2,94
3,93
4,88
5,49
6,80
7,48
8,37
9,60
10,53
11,41
12,77
13,62
14,79
15,66
16,62
17,87
18,86
19,38
20,39
21,85
22,84
23,93
24,83
25,79
26,56
27,98
28,42
29,42
30,84
31,59
32,91
33,33
34,64
35,66
36,47
37,45
38,80
39,97
40,33
41,31
42,42
43,33
44,88
45,97
46,66
47,91
48,50
49,33
50,81
51,82
52,95
53,79
54,95
55,78
56,73
57,71
58,31
59,78
60,32
61,83
62,99
63,75
64,77
65,60
66,85
67,71
68,49
69,95
70,35
71,37
72,59
73,59
74,38
75,82
76,68
77,83
78,47
79,99
80,54
81,42
82,77
83,30
84,50
85,87
86,39
87,48
88,67
89,62
90,44
91,64
92,75
93,92
94,42
95,71
96,40
97,80
98,32
99,82
100,51
