studentId,marks
1,61
2,70
3,64
4,96
5,39
6,95
7,71
8,48
9,80
10,62
11,70
12,62
13,56
14,61
15,55
16,35
17,64
18,100
19,41
20,71
21,76
22,81
23,75
24,42
25,46
26,33
27,86
28,67
29,64
30,80
31,32
32,79
33,38
34,35
35,58
36,71
37,73
38,75
39,98
40,35
41,87
42,50
43,66
44,67
45,46
46,49
47,69
48,76
49,85
50,74
51,74
52,60
53,42
54,83
55,92
56,55
57,64
58,76
59,88
60,73
61,43
62,86
63,43
64,42
65,87
66,40
67,52
68,47
69,59
70,48
71,79
72,46
73,57
74,46
75,85
76,62
77,44
78,32
79,62
80,59
81,98
82,87
83,71
84,68
85,72
86,92
87,98
88,69
89,52
90,64
91,96
92,53
93,98
94,35
95,30
96,55
97,48
98,67
99,33
100,42
