studentId,marks
1,74
2,35
3,71
4,79
5,97
6,45
7,69
8,59
9,31
10,42
11,100
12,74
13,30
14,98
15,40
16,75
17,96
18,97
19,91
20,78
21,36
22,49
23,48
24,36
25,93
26,69
27,30
28,69
29,81
30,56
31,59
32,89
33,40
34,77
35,70
36,85
37,99
38,35
39,74
40,100
41,45
42,82
43,36
44,73
45,90
46,60
47,66
48,86
49,52
50,73
51,81
52,85
53,32
54,39
55,59
56,67
57,100
58,41
59,59
60,96
61,84
62,59
63,69
64,44
65,52
66,39
67,59
68,75
69,66
70,41
71,47
72,34
73,35
74,65
75,77
76,47
77,30
78,61
79,83
80,34
81,98
82,45
83,86
84,82
85,75
86,71
87,34
88,71
89,83
90,59
91,57
92,82
93,52
94,45
95,45
96,78
97,48
98,48
99,95
100,82
