studentId,marks
1,77
2,89
3,76
4,58
5,93
6,65
7,92
8,88
9,100
10,59
11,40
12,55
13,84
14,91
15,37
16,36
17,49
18,81
19,94
20,42
21,30
22,97
23,48
24,44
25,53
26,77
27,79
28,35
29,98
30,39
31,83
32,95
33,33
34,60
35,74
36,85
37,97
38,70
39,94
40,53
41,39
42,84
43,53
44,40
45,71
46,82
47,32
48,61
49,78
50,99
51,66
52,42
53,75
54,41
55,81
56,34
57,96
58,83
59,71
60,74
61,71
62,84
63,31
64,45
65,97
66,46
67,76
68,84
69,35
70,41
71,31
72,57
73,43
74,42
75,72
76,66
77,55
78,95
79,45
80,87
81,89
82,30
83,40
84,98
85,82
86,38
87,83
88,84
89,48
90,64
91,83
92,56
93,68
94,46
95,91
96,74
97,30
98,40
99,59
100,78
