studentId,marks
1,59
2,43
3,80
4,77
5,70
6,91
7,42
8,91
9,64
10,80
11,60
12,71
13,86
14,59
15,70
16,90
17,34
18,61
19,84
20,38
21,83
22,75
23,58
24,71
25,49
26,45
27,89
28,91
29,81
30,68
31,46
32,93
33,36
34,53
35,74
36,39
37,37
38,48
39,52
40,66
41,39
42,61
43,58
44,50
45,48
46,56
47,72
48,65
49,36
50,32
51,71
52,71
53,68
54,88
55,60
56,64
57,92
58,51
59,34
60,45
61,87
62,66
63,76
64,64
65,60
66,95
67,93
68,64
69,85
70,37
71,74
72,57
73,85
74,33
75,70
76,41
77,30
78,73
79,59
80,53
81,57
82,94
83,80
84,81
85,56
86,72
87,46
88,62
89,82
90,74
91,41
92,61
93,96
94,66
95,89
96,70
97,89
98,60
99,75
100,43
