studentId,marks
1,57
2,35
3,93
4,73
5,88
6,80
7,34
8,50
9,98
10,71
11,95
12,62
13,51
14,82
15,47
16,65
17,82
18,69
19,72
20,39
21,77
22,59
23,49
24,40
25,63
26,82
27,38
28,90
29,61
30,40
31,66
32,69
33,58
34,81
35,41
36,78
37,86
38,84
39,84
40,67
41,40
42,67
43,79
44,61
45,97
46,96
47,84
48,46
49,61
50,49
51,49
52,69
53,62
54,82
55,85
56,58
57,79
58,85
59,64
60,36
61,100
62,99
63,57
64,71
65,42
66,31
67,93
68,80
69,48
70,69
71,72
72,30
73,81
74,57
75,59
76,58
77,98
78,71
79,97
80,90
81,81
82,87
83,89
84,53
85,66
86,56
87,71
88,89
89,94
90,42
91,33
92,78
93,77
94,92
95,90
96,37
97,66
98,82
99,36
100,100
