studentId,marks
1,70
2,42
3,64
4,83
5,61
6,31
7,86
8,77
9,44
10,67
11,78
12,55
13,31
14,46
15,54
16,73
17,78
18,45
19,91
20,53
21,33
22,77
23,98
24,56
25,60
26,61
27,39
28,81
29,39
30,89
31,35
32,44
33,82
34,91
35,67
36,79
37,87
38,80
39,77
40,87
41,49
42,94
43,77
44,61
45,85
46,84
47,80
48,77
49,79
50,94
51,57
52,60
53,74
54,92
55,91
56,52
57,89
58,81
59,58
60,46
61,49
62,44
63,70
64,69
65,33
66,93
67,52
68,54
69,99
70,83
71,42
72,67
73,61
74,33
75,47
76,95
77,78
78,48
79,81
80,79
81,30
82,30
83,75
84,78
85,40
86,54
87,98
88,68
89,53
90,79
91,63
92,53
93,45
94,30
95,86
96,58
97,98
98,56
99,36
100,52
