studentId,marks
1,64
2,31
3,40
4,57
5,33
6,71
7,76
8,98
9,36
10,87
11,57
12,44
13,32
14,45
15,76
16,70
17,49
18,51
19,88
20,63
21,76
22,94
23,34
24,87
25,45
26,68
27,52
28,60
29,83
30,43
31,75
32,100
33,80
34,83
35,75
36,82
37,81
38,88
39,56
40,73
41,80
42,49
43,62
44,74
45,50
46,33
47,60
48,33
49,35
50,99
51,77
52,63
53,49
54,63
55,46
56,50
57,86
58,88
59,39
60,60
61,51
62,46
63,59
64,58
65,97
66,36
67,66
68,95
69,51
70,30
71,56
72,63
73,37
74,42
75,50
76,39
77,53
78,64
79,82
80,68
81,31
82,51
83,46
84,39
85,93
86,54
87,83
88,96
89,78
90,58
91,62
92,32
93,81
94,76
95,36
96,54
97,72
98,98
99,62
100,37
