studentId,marks
1,58
2,33
3,71
4,92
5,98
6,84
7,95
8,51
9,65
10,86
11,97
12,54
13,39
14,92
15,62
16,59
17,67
18,50
19,85
20,86
21,57
22,95
23,93
24,31
25,94
26,94
27,91
28,78
29,40
30,62
31,100
32,35
33,61
34,77
35,53
36,89
37,42
38,65
39,89
40,39
41,71
42,51
43,76
44,59
45,69
46,74
47,35
48,35
49,53
50,71
51,69
52,80
53,85
54,59
55,43
56,75
57,82
58,82
59,86
60,96
61,71
62,73
63,67
64,79
65,35
66,89
67,35
68,50
69,80
70,44
71,49
72,64
73,53
74,59
75,79
76,72
77,55
78,74
79,96
80,36
81,73
82,52
83,100
84,99
85,58
86,87
87,80
88,82
89,43
90,41
91,59
92,93
93,71
94,92
95,31
96,47
97,48
98,58
99,74
100,35
