studentId,marks
1,88
2,72
3,88
4,68
5,38
6,69
7,40
8,62
9,41
10,40
11,88
12,57
13,63
14,57
15,60
16,73
17,56
18,70
19,65
20,99
21,77
22,63
23,41
24,32
25,90
26,70
27,85
28,52
29,48
30,32
31,58
32,54
33,81
34,81
35,100
36,32
37,91
38,85
39,63
40,99
41,76
42,90
43,53
44,82
45,92
46,79
47,62
48,41
49,79
50,57
51,98
52,64
53,35
54,66
55,40
56,68
57,77
58,79
59,52
60,55
61,75
62,31
63,51
64,50
65,96
66,49
67,48
68,34
69,73
70,97
71,91
72,48
73,40
74,66
75,92
76,92
77,60
78,54
79,70
80,59
81,67
82,62
83,35
84,92
85,36
86,44
87,85
88,90
89,66
90,40
91,94
92,58
93,40
94,38
95,90
96,77
97,56
98,60
99,93
100,30
