studentId,marks
1,83
2,74
3,50
4,84
5,61
6,46
7,99
8,49
9,75
10,63
11,36
12,37
13,50
14,30
15,33
16,83
17,83
18,95
19,88
20,83
21,89
22,60
23,82
24,36
25,62
26,60
27,89
28,60
29,40
30,47
31,48
32,32
33,90
34,53
35,82
36,54
37,84
38,77
39,50
40,70
41,94
42,81
43,87
44,94
45,82
46,75
47,54
48,70
49,100
50,99
51,100
52,63
53,68
54,92
55,35
56,38
57,100
58,53
59,66
60,84
61,58
62,39
63,64
64,69
65,55
66,31
67,81
68,58
69,38
70,79
71,62
72,97
73,58
74,38
75,72
76,78
77,96
78,71
79,95
80,74
81,66
82,75
83,42
84,39
85,84
86,96
87,71
88,31
89,43
90,51
91,32
92,71
93,51
94,30
95,85
96,66
97,32
98,33
99,98
100,80
