studentId,marks
1,48
2,43
3,56
4,49
5,39
6,31
7,36
8,36
9,32
10,86
11,81
12,58
13,59
14,63
15,59
16,36
17,78
18,92
19,96
20,53
21,43
22,75
23,75
24,94
25,67
26,73
27,46
28,98
29,90
30,91
31,33
32,64
33,66
34,91
35,80
36,39
37,39
38,81
39,76
40,64
41,52
42,79
43,33
44,84
45,52
46,90
47,41
48,53
49,92
50,99
51,49
52,76
53,46
54,97
55,59
56,95
57,37
58,38
59,60
60,91
61,86
62,73
63,47
64,89
65,94
66,99
67,67
68,94
69,55
70,51
71,69
72,85
73,77
74,84
75,52
76,43
77,80
78,84
79,31
80,86
81,100
82,86
83,42
84,35
85,80
86,48
87,89
88,72
89,56
90,41
91,50
92,82
93,92
94,76
95,38
96,60
97,100
98,38
99,89
100,83
