studentId,marks
1,59
2,83
3,67
4,97
5,51
6,84
7,50
8,50
9,63
10,85
11,77
12,79
13,33
14,93
15,30
16,93
17,36
18,46
19,45
20,39
21,46
22,60
23,45
24,38
25,82
26,73
27,71
28,93
29,100
30,84
31,34
32,44
33,31
34,52
35,63
36,57
37,67
38,60
39,30
40,98
41,57
42,54
43,72
44,75
45,91
46,73
47,41
48,93
49,66
50,96
51,55
52,53
53,77
54,74
55,34
56,98
57,54
58,57
59,99
60,55
61,98
62,69
63,72
64,30
65,64
66,40
67,45
68,72
69,63
70,54
71,36
72,32
73,90
74,63
75,99
76,87
77,90
78,70
79,41
80,80
81,43
82,45
83,51
84,86
85,48
86,71
87,63
88,49
89,67
90,82
91,32
92,80
93,48
94,39
95,90
96,46
97,67
98,61
99,88
100,85
