studentId,marks
1,95
2,63
3,77
4,37
5,68
6,52
7,63
8,75
9,100
10,33
11,98
12,32
13,97
14,84
15,31
16,70
17,86
18,75
19,76
20,45
21,64
22,97
23,99
24,34
25,94
26,39
27,67
28,58
29,93
30,93
31,55
32,90
33,79
34,91
35,92
36,99
37,61
38,54
39,58
40,39
41,81
42,54
43,72
44,78
45,77
46,97
47,60
48,34
49,43
50,42
51,50
52,45
53,39
54,96
55,76
56,61
57,69
58,31
59,38
60,92
61,53
62,73
63,41
64,60
65,47
66,49
67,64
68,90
69,81
70,41
71,88
72,86
73,48
74,72
75,91
76,76
77,80
78,37
79,47
80,83
81,81
82,88
83,46
84,72
85,42
86,86
87,56
88,34
89,33
90,65
91,38
92,89
93,95
94,55
95,78
96,55
97,70
98,85
99,45
100,54
