studentId,marks
1,81
2,93
3,86
4,91
5,58
6,69
7,30
8,65
9,84
10,95
11,46
12,49
13,66
14,65
15,74
16,87
17,41
18,54
19,78
20,92
21,69
22,46
23,35
24,55
25,92
26,41
27,91
28,49
29,83
30,51
31,35
32,52
33,94
34,43
35,39
36,75
37,31
38,89
39,34
40,96
41,50
42,44
43,92
44,69
45,84
46,56
47,48
48,55
49,81
50,90
51,53
52,55
53,98
54,47
55,71
56,72
57,42
58,30
59,67
60,91
61,45
62,79
63,88
64,39
65,65
66,51
67,86
68,38
69,55
70,54
71,32
72,65
73,47
74,96
75,89
76,91
77,33
78,36
79,58
80,87
81,58
82,60
83,88
84,86
85,34
86,39
87,52
88,84
89,53
90,70
91,60
92,62
93,75
94,72
95,61
96,54
97,56
98,40
99,50
100,66
