studentId,marks
1,40
2,93
3,46
4,63
5,54
6,67
7,88
8,56
9,97
10,71
11,90
12,88
13,43
14,61
15,59
16,53
17,72
18,89
19,51
20,53
21,69
22,88
23,70
24,48
25,65
26,66
27,93
28,64
29,90
30,60
31,35
32,68
33,68
34,49
35,46
36,99
37,54
38,34
39,66
40,74
41,98
42,36
43,60
44,63
45,98
46,77
47,78
48,85
49,46
50,88
51,61
52,62
53,34
54,53
55,71
56,98
57,68
58,67
59,68
60,59
61,86
62,76
63,48
64,74
65,77
66,51
67,45
68,97
69,91
70,48
71,75
72,88
73,79
74,86
75,51
76,61
77,87
78,88
79,63
80,54
81,85
82,81
83,92
84,42
85,58
86,59
87,47
88,39
89,84
90,36
91,86
92,57
93,70
94,38
95,57
96,92
97,97
98,36
99,99
100,53
