studentId,marks
1,32
2,90
3,80
4,87
5,68
6,86
7,55
8,36
9,75
10,46
11,80
12,31
13,63
14,47
15,51
16,78
17,100
18,86
19,41
20,62
21,72
22,38
23,81
24,30
25,49
26,41
27,91
28,55
29,39
30,63
31,53
32,60
33,80
34,48
35,77
36,86
37,36
38,99
39,69
40,75
41,61
42,84
43,42
44,43
45,89
46,42
47,74
48,37
49,54
50,48
51,71
52,44
53,65
54,54
55,100
56,89
57,100
58,61
59,66
60,84
61,49
62,82
63,99
64,45
65,53
66,82
67,74
68,100
69,87
70,64
71,82
72,42
73,81
74,53
75,51
76,74
77,57
78,50
79,54
80,57
81,77
82,66
83,40
84,93
85,47
86,67
87,68
88,44
89,97
90,36
91,51
92,50
93,47
94,83
95,79
96,34
97,49
98,44
99,33
100,59
