studentId,marks
1,81
2,37
3,68
4,94
5,73
6,85
7,48
8,80
9,52
10,93
11,99
12,37
13,62
14,93
15,93
16,59
17,31
18,38
19,84
20,82
21,70
22,72
23,49
24,86
25,88
26,39
27,59
28,58
29,61
30,66
31,70
32,94
33,52
34,94
35,77
36,80
37,70
38,64
39,86
40,89
41,44
42,97
43,84
44,77
45,97
46,34
47,77
48,42
49,84
50,82
51,48
52,56
53,86
54,57
55,63
56,56
57,82
58,63
59,37
60,32
61,99
62,67
63,76
64,85
65,100
66,66
67,91
68,31
69,92
70,92
71,47
72,36
73,80
74,56
75,82
76,45
77,36
78,31
79,40
80,52
81,57
82,95
83,79
84,42
85,76
86,41
87,97
88,93
89,96
90,37
91,34
92,69
93,36
94,86
95,88
96,86
97,46
98,76
99,98
100,85
