studentId,marks
1,45
2,36
3,30
4,56
5,38
6,64
7,80
8,43
9,70
10,81
11,48
12,54
13,53
14,58
15,45
16,95
17,100
18,83
19,68
20,85
21,92
22,40
23,33
24,97
25,65
26,33
27,95
28,52
29,35
30,56
31,62
32,77
33,61
34,84
35,84
36,42
37,34
38,91
39,66
40,34
41,78
42,36
43,63
44,30
45,83
46,94
47,49
48,89
49,68
50,44
51,33
52,83
53,39
54,57
55,59
56,68
57,37
58,84
59,98
60,76
61,45
62,58
63,74
64,48
65,40
66,77
67,88
68,80
69,55
70,37
71,75
72,44
73,51
74,89
75,94
76,70
77,61
78,72
79,73
80,96
81,65
82,36
83,51
84,69
85,82
86,75
87,46
88,45
89,51
90,71
91,52
92,89
93,52
94,59
95,82
96,30
97,47
98,68
99,37
100,66
