studentId,marks
1,52
2,81
3,57
4,87
5,33
6,95
7,54
8,45
9,83
10,46
11,53
12,58
13,60
14,38
15,85
16,83
17,43
18,60
19,82
20,40
21,55
22,31
23,40
24,81
25,96
26,45
27,69
28,87
29,48
30,51
31,65
32,30
33,33
34,78
35,73
36,82
37,49
38,99
39,99
40,61
41,56
42,92
43,34
44,92
45,61
46,86
47,67
48,67
49,38
50,76
51,36
52,88
53,74
54,64
55,58
56,99
57,46
58,57
59,56
60,97
61,74
62,88
63,81
64,39
65,88
66,81
67,52
68,88
69,32
70,86
71,89
72,93
73,89
74,100
75,60
76,96
77,82
78,58
79,59
80,53
81,41
82,69
83,80
84,81
85,56
86,59
87,53
88,67
89,92
90,33
91,39
92,72
93,84
94,95
95,31
96,62
97,48
98,77
99,61
100,79
